method,size,split,seed,instance_id,Cmax_roll,average_completion_time,average_waiting_time,machine_utilization,load_balance_std,split_task_ratio,total_split_count,inference_time,candidate_mode,split_rule,notes
MinCandidateLoad,small,test,170016,small_test_0016_seed_170016,265.51037636308047,126.29490455482079,11.145102572892043,0.42812666039756325,66.93947785116345,0.125,3.0,0.0010848999954760075,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170016,small_test_0016_seed_170016,265.51037636308047,126.04980276994694,11.607167454684872,0.44488575790126833,57.71087293889074,0.125,3.0,0.10755670000799,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170017,small_test_0017_seed_170017,211.45134772825418,130.85242439867747,30.580504743861827,0.5565333871842423,33.03146031383582,0.16666666666666666,4.0,0.0011958999675698578,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170017,small_test_0017_seed_170017,223.386,110.71063300582375,8.988713351008146,0.5341945865843674,28.38715022434414,0.16666666666666666,4.0,0.0011808999697677791,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170017,small_test_0017_seed_170017,235.046,123.02797848084326,22.411392159361,0.5126608307864042,34.22349530557444,0.16666666666666666,4.0,0.001137699990067631,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170017,small_test_0017_seed_170017,250.35830559114436,162.24598945809467,62.27752813661243,0.4704161567184745,38.27917564367103,0.16666666666666666,4.0,0.0016759999562054873,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170017,small_test_0017_seed_170017,207.18300000000002,111.77368708798956,11.360725766507315,0.5691739348658283,33.94617366239076,0.16666666666666666,4.0,0.0017043999978341162,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170017,small_test_0017_seed_170017,223.196,107.83196140357722,9.67058083085086,0.5261322319465948,33.339421154826354,0.16666666666666666,4.0,0.09422209998592734,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170018,small_test_0018_seed_170018,285.16830795313575,140.4245764220298,43.034326184413224,0.4607571383759878,55.50561407314606,0.5,14.0,0.0012428999762050807,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170018,small_test_0018_seed_170018,238.08420868795645,111.32830073325788,17.092599150983904,0.5680593817996547,56.42915213364542,0.5,14.0,0.0011956999660469592,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170018,small_test_0018_seed_170018,300.11066467078933,127.3109009642432,37.93207665833655,0.4456461930342522,58.34469610466114,0.5,14.0,0.0014079000102356076,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
LPT,small,test,170018,small_test_0018_seed_170018,280.99232617249544,153.73657079324136,53.57440478445219,0.46671144124947983,56.78673926964081,0.5,14.0,0.0014076000079512596,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
MinCandidateLoad,small,test,170018,small_test_0018_seed_170018,238.08420868795645,110.4271293870962,18.918734339044672,0.5652918395037922,58.00626121556345,0.5,14.0,0.0013005000073462725,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
GreedyECT,small,test,170018,small_test_0018_seed_170018,238.08420868795645,112.31341260785523,27.121785279670718,0.5622390006661636,55.88036058338389,0.5,14.0,0.1425868999795057,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
Random,small,test,170019,small_test_0019_seed_170019,243.09127116041876,157.12966175160923,36.795328301346224,0.5236204263578877,60.2159209176038,0.375,11.0,0.001080899965018034,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
FIFO,small,test,170019,small_test_0019_seed_170019,220.02128668493577,130.23403635872208,11.296602426940481,0.5671073475416367,56.76098534123457,0.375,11.0,0.0010285000316798687,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
SPT,small,test,170019,small_test_0019_seed_170019,239.8781328192225,143.37056344255052,22.257183652995106,0.5241954730992063,49.90205365429095,0.375,11.0,0.0011882000253535807,all_eligible,env_inverse_processing_time,stage_A_fixed_instances
